요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
일요일,1,150,서울역,상선,3.0,12.0,11.0,7.0,6.0,9.0,12.0,16.0,25.0,43.0,35.0,38.0,47.0,39.0,41.0,42.0,44.0,46.0,35.0,38.0,36.0,24.0,30.0,17.0,18.0,14.0,13.0,18.0,18.0,21.0,21.0,21.0,14.0,13.0,16.0,18.0,11.0,18.0,
일요일,1,150,서울역,하선,3.0,8.0,6.0,4.0,5.0,7.0,8.0,10.0,15.0,29.0,22.0,25.0,27.0,28.0,39.0,38.0,41.0,51.0,51.0,51.0,46.0,41.0,39.0,29.0,28.0,27.0,20.0,31.0,27.0,41.0,33.0,30.0,25.0,20.0,19.0,17.0,11.0,10.0,
일요일,1,151,시청,상선,3.0,24.0,10.0,7.0,5.0,8.0,11.0,15.0,24.0,35.0,34.0,31.0,44.0,35.0,41.0,41.0,42.0,44.0,36.0,38.0,36.0,25.0,30.0,19.0,18.0,15.0,14.0,18.0,19.0,24.0,23.0,22.0,16.0,15.0,18.0,22.0,16.0,25.0,
일요일,1,151,시청,하선,4.0,9.0,6.0,5.0,5.0,7.0,8.0,11.0,16.0,28.0,21.0,25.0,26.0,30.0,35.0,37.0,41.0,53.0,51.0,49.0,47.0,38.0,38.0,28.0,26.0,24.0,17.0,29.0,25.0,35.0,27.0,23.0,19.0,15.0,13.0,12.0,8.0,5.0,
일요일,1,152,종각,상선,3.0,9.0,9.0,7.0,5.0,12.0,10.0,14.0,21.0,32.0,30.0,29.0,39.0,33.0,38.0,38.0,40.0,43.0,36.0,37.0,37.0,25.0,31.0,21.0,18.0,17.0,14.0,19.0,22.0,26.0,24.0,24.0,19.0,17.0,19.0,24.0,16.0,25.0,
일요일,1,152,종각,하선,4.0,9.0,6.0,6.0,5.0,7.0,9.0,13.0,16.0,28.0,24.0,25.0,30.0,31.0,37.0,37.0,40.0,51.0,49.0,51.0,45.0,36.0,35.0,26.0,26.0,22.0,17.0,25.0,23.0,30.0,23.0,21.0,17.0,13.0,11.0,11.0,7.0,2.0,
일요일,1,153,종로3가,상선,3.0,11.0,10.0,7.0,5.0,7.0,10.0,13.0,19.0,43.0,28.0,31.0,39.0,35.0,41.0,42.0,35.0,49.0,39.0,41.0,40.0,28.0,31.0,25.0,18.0,20.0,16.0,20.0,24.0,29.0,28.0,28.0,22.0,20.0,21.0,28.0,20.0,25.0,
일요일,1,153,종로3가,하선,4.0,9.0,7.0,6.0,7.0,7.0,10.0,13.0,18.0,29.0,27.0,26.0,32.0,32.0,38.0,40.0,41.0,51.0,49.0,50.0,44.0,34.0,34.0,25.0,24.0,18.0,15.0,20.0,20.0,25.0,19.0,17.0,13.0,11.0,9.0,9.0,7.0,2.0,
일요일,1,154,종로5가,상선,3.0,9.0,9.0,7.0,5.0,7.0,10.0,12.0,18.0,32.0,25.0,30.0,32.0,39.0,37.0,40.0,32.0,49.0,38.0,42.0,37.0,28.0,31.0,24.0,18.0,20.0,17.0,20.0,23.0,29.0,29.0,29.0,21.0,20.0,21.0,28.0,20.0,22.0,
일요일,1,154,종로5가,하선,5.0,9.0,7.0,7.0,8.0,8.0,12.0,13.0,25.0,34.0,31.0,32.0,36.0,35.0,52.0,44.0,47.0,59.0,54.0,53.0,50.0,33.0,39.0,26.0,26.0,17.0,14.0,20.0,19.0,21.0,18.0,16.0,11.0,10.0,8.0,9.0,5.0,0.0,
